"TypeCode","FreqCode","RefPeriodId","RefYear","RefMonth","Period","ReporterCode","ReporterISO","ReporterDesc","FlowCode","FlowDesc","PartnerCode","PartnerISO","PartnerDesc","Partner2Code","Partner2ISO","Partner2Desc","ClassificationCode","ClassificationSearchCode","IsOriginalClassification","CmdCode","CmdDesc","AggrLevel","IsLeaf","CustomsCode","CustomsDesc","MosCode","MotCode","MotDesc","QtyUnitCode","QtyUnitAbbr","Qty","IsQtyEstimated","AltQtyUnitCode","AltQtyUnitAbbr","AtlQty","IsAltQtyEstimated","NetWgt","IsNetWgtEstimated","GrossWgt","IsGrossWgtEstimated","Cifvalue","Fobvalue","PrimaryValue","LegacyEstimationFlag","IsReported","IsAggregate",
"C","M","20140101","2014","1","201401","826","GBR","United Kingdom","X","Export","4","AFG","Afghanistan","0","W00","World","H4","HS","true","0401","Milk and cream; not concentrated, not containing added sugar or other sweetening matter","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","2520","false","0","false","0","3410.139","3410.139","0","false","true",
"C","M","20140201","2014","2","201402","826","GBR","United Kingdom","X","Export","4","AFG","Afghanistan","0","W00","World","H4","HS","true","0401","Milk and cream; not concentrated, not containing added sugar or other sweetening matter","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","5124","false","0","false","0","13480.752","13480.752","0","false","true",
"C","M","20140601","2014","6","201406","826","GBR","United Kingdom","X","Export","4","AFG","Afghanistan","0","W00","World","H4","HS","true","0401","Milk and cream; not concentrated, not containing added sugar or other sweetening matter","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","2088","false","0","false","0","13149.544","13149.544","0","false","true",
"C","M","20140701","2014","7","201407","826","GBR","United Kingdom","X","Export","4","AFG","Afghanistan","0","W00","World","H4","HS","true","0401","Milk and cream; not concentrated, not containing added sugar or other sweetening matter","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","600","false","0","false","0","4017.042","4017.042","0","false","true",
"C","M","20140501","2014","5","201405","826","GBR","United Kingdom","X","Export","4","AFG","Afghanistan","0","W00","World","H4","HS","true","0401","Milk and cream; not concentrated, not containing added sugar or other sweetening matter","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","2414","false","0","false","0","15999.455","15999.455","0","false","true",
"C","M","20140101","2014","1","201401","826","GBR","United Kingdom","X","Export","12","DZA","Algeria","0","W00","World","H4","HS","true","0402","Milk and cream; concentrated or containing added sugar or other sweetening matter","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","900000","false","0","false","0","4792661.646","4792661.646","0","false","true",
"C","M","20140401","2014","4","201404","826","GBR","United Kingdom","X","Export","12","DZA","Algeria","0","W00","World","H4","HS","true","0402","Milk and cream; concentrated or containing added sugar or other sweetening matter","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","2725000","false","0","false","0","14875815.968","14875815.968","0","false","true",
"C","M","20140301","2014","3","201403","826","GBR","United Kingdom","X","Export","12","DZA","Algeria","0","W00","World","H4","HS","true","0402","Milk and cream; concentrated or containing added sugar or other sweetening matter","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","1850000","false","0","false","0","9835522.501","9835522.501","0","false","true",
"C","M","20141201","2014","12","201412","826","GBR","United Kingdom","X","Export","12","DZA","Algeria","0","W00","World","H4","HS","true","0402","Milk and cream; concentrated or containing added sugar or other sweetening matter","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","1150000","false","0","false","0","3464600.173","3464600.173","0","false","true",
"C","M","20141001","2014","10","201410","826","GBR","United Kingdom","X","Export","12","DZA","Algeria","0","W00","World","H4","HS","true","0402","Milk and cream; concentrated or containing added sugar or other sweetening matter","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","1100000","false","0","false","0","4074423.784","4074423.784","0","false","true",
